,규모,면적,신축년도,용도지역,주소
1216,4,132㎡,2002년 04월 18일,2종일주,광주광역시 동구 동명동 200-208
1217,4,218㎡,2003년 04월 23일,2종일주,광주광역시 동구 동명동 200-206
1218,5,334㎡,2004년 03월 04일,2종일주,광주광역시 동구 동명동 200-141
1219,4,331㎡,2003년 02월 06일,근린상업,광주광역시 동구 동명동 179-10
1220,4,212㎡,2014년 07월 21일,근린상업,광주광역시 동구 동명동 159-10
1221,4,297㎡,1991년 10월 31일,2종일주,광주광역시 동구 동명동 154-49
1222,4,285㎡,2002년 07월 22일,2종일주,광주광역시 동구 동명동 154-48
1223,4,483㎡,2002년 05월 16일,2종일주,광주광역시 동구 동명동 154-12
1224,4,208.6㎡,2001년 07월 20일,준주거,광주광역시 동구 동명동 101-33
1225,4,261.8㎡,2002년 02월 07일,준주거,광주광역시 동구 동명동 101-24
1226,4,357㎡,2004년 01월 19일,2종일주,광주광역시 동구 동명동 72-26
1227,5,228㎡,2002년 01월 11일,근린상업,광주광역시 동구 동명동 18-16
1228,5,198㎡,2005년 11월 10일,준주거,광주광역시 동구 계림동 588-3
1229,4,225㎡,2003년 05월 30일,준주거,광주광역시 동구 계림동 585-14
1230,5,268㎡,2005년 12월 21일,준주거,광주광역시 동구 계림동 584-12
1231,5,194㎡,2007년 01월 02일,준주거,광주광역시 동구 계림동 583-7
1232,3,305㎡,1988년 02월 15일,일반상업,광주광역시 동구 계림동 578-8
1233,5,182㎡,2002년 03월 28일,준주거,광주광역시 동구 계림동 571-16
1234,5,182㎡,2002년 03월 28일,준주거,광주광역시 동구 계림동 571-12
1235,4,278㎡,2001년 08월 24일,준주거,광주광역시 동구 계림동 565-9
1236,5,168㎡,2005년 01월 12일,준주거,광주광역시 동구 계림동 562-20
1237,5,169㎡,2005년 01월 12일,준주거,광주광역시 동구 계림동 562-16
1238,3,331㎡,1984년 02월 23일,일반상업,광주광역시 동구 계림동 557-1
1239,4,271㎡,2013년 09월 17일,2종일주,광주광역시 동구 계림동 555-6
1240,3,340.5㎡,1990년 07월 31일,준주거,광주광역시 동구 계림동 530-1
1241,5,261㎡,2002년 12월 18일,준주거,광주광역시 동구 계림동 489-28
1242,4,132㎡,2003년 08월 30일,준주거,광주광역시 동구 계림동 489-21
1243,5,175㎡,2005년 10월 24일,준주거,광주광역시 동구 계림동 489-14
1244,5,149㎡,2010년 12월 27일,일반상업,광주광역시 동구 계림동 485-47
1245,4,221㎡,2002년 01월 19일,일반상업,광주광역시 동구 계림동 485-46
1246,3,185㎡,1991년 05월 27일,일반상업,광주광역시 동구 계림동 295-23
1247,3,294㎡,1989년 09월 07일,일반상업,광주광역시 동구 계림동 295-4
1248,3,238㎡,1986년 12월 02일,일반상업,광주광역시 동구 계림동 292-8
1249,4,256㎡,1983년 10월 31일,2종일주,광주광역시 동구 계림동 181-9
1250,4,417㎡,2012년 02월 22일,3종일주,광주광역시 동구 계림동 116-10
1251,5,310㎡,2014년 02월 19일,2종일주,광주광역시 동구 서석동 470-23
1252,4,416㎡,2013년 08월 12일,2종일주,광주광역시 동구 서석동 468-31
1253,4,183㎡,2013년 08월 07일,2종일주,광주광역시 동구 서석동 468-7
1254,4,357㎡,2012년 09월 11일,2종일주,광주광역시 동구 서석동 429-1
1255,4,387㎡,2012년 09월 20일,2종일주,광주광역시 동구 서석동 429
1256,4,252㎡,2006년 01월 18일,준주거,광주광역시 동구 서석동 428-4
1257,4,348.3㎡,2007년 01월 10일,2종일주,광주광역시 동구 서석동 119
1258,4,444.8㎡,2015년 01월 14일,2종일주,광주광역시 동구 서석동 97-33
1259,2,148㎡,1989년 06월 23일,3종일주,광주광역시 동구 학동 901-365
1260,4,275㎡,1996년 01월 16일,3종일주,광주광역시 동구 학동 901-296
1261,4,145㎡,1997년 10월 21일,3종일주,광주광역시 동구 학동 901-116
1262,4,225㎡,1998년 05월 09일,3종일주,광주광역시 동구 학동 901-111
1263,3,218㎡,1997년 12월 04일,3종일주,광주광역시 동구 학동 901-93
1264,4,151㎡,1996년 09월 24일,3종일주,광주광역시 동구 학동 901-42
1265,3,158㎡,1997년 04월 01일,3종일주,광주광역시 동구 학동 901-16
1266,3,273㎡,2005년 03월 30일,1종일주,광주광역시 동구 학동 790-3
1267,4,418㎡,2004년 08월 13일,2종일주,광주광역시 동구 학동 788-12
1268,4,425㎡,2004년 08월 13일,2종일주,광주광역시 동구 학동 788
1269,2,278㎡,1979년 12월 29일,1종일주,광주광역시 동구 학동 778-7
1270,2,236㎡,1979년 12월 29일,1종일주,광주광역시 동구 학동 778-5
1271,4,369㎡,1996년 04월 03일,2종일주,광주광역시 동구 학동 739-2
1272,4,396㎡,1996년 04월 03일,2종일주,광주광역시 동구 학동 739-1
1273,1,320㎡,1994년 05월 19일,2종일주,광주광역시 동구 학동 739
1274,4,"1,081㎡",2013년 08월 22일,2종일주,광주광역시 동구 학동 730-5
1275,2,195㎡,1988년 03월 26일,3종일주,광주광역시 동구 학동 636-11
1276,4,243㎡,2002년 08월 01일,준주거,광주광역시 동구 학동 524-12
1277,5,393㎡,2012년 01월 03일,준주거,광주광역시 동구 학동 522-3
1278,2,352㎡,1984년 10월 08일,1종일주,광주광역시 동구 학동 258
1279,4,"1,841㎡",2013년 12월 24일,1종일주,광주광역시 동구 학동 236-1
1280,4,188㎡,2003년 10월 01일,준주거,광주광역시 동구 학동 29-18
1281,4,169.9㎡,2004년 01월 29일,2종일주,광주광역시 동구 산수동 549-23
1282,2,387.1㎡,1980년 11월 26일,2종일주,광주광역시 동구 산수동 549-11
1283,4,159㎡,2003년 03월 28일,준주거,광주광역시 동구 산수동 543-24
1284,5,190.1㎡,2000년 12월 30일,준주거,광주광역시 동구 산수동 542-10
1285,4,197.1㎡,2004년 06월 18일,준주거,광주광역시 동구 산수동 538-22
1286,4,196.7㎡,2003년 08월 12일,준주거,광주광역시 동구 산수동 537-23
1287,4,196.7㎡,2003년 08월 12일,준주거,광주광역시 동구 산수동 537-22
1288,4,196.7㎡,2002년 12월 26일,준주거,광주광역시 동구 산수동 537-21
1289,5,209.6㎡,2005년 08월 31일,준주거,광주광역시 동구 산수동 537-20
1290,4,316.4㎡,2009년 05월 28일,준주거,광주광역시 동구 산수동 522-83
1291,3,368.2㎡,1994년 08월 27일,1종일주,광주광역시 동구 산수동 517-14
1292,4,422.1㎡,2012년 12월 06일,2종일주,광주광역시 동구 산수동 509-4
1293,4,409㎡,2007년 05월 04일,2종일주,광주광역시 동구 산수동 490-2
1294,5,184㎡,2003년 07월 18일,2종일주,광주광역시 동구 산수동 484-3
1295,5,449㎡,2006년 06월 30일,2종일주,광주광역시 동구 산수동 483-6
1296,5,231㎡,2006년 01월 19일,2종일주,광주광역시 동구 산수동 483-5
1297,4,208㎡,1995년 08월 22일,2종일주,광주광역시 동구 산수동 482-4
1298,5,204㎡,2002년 11월 14일,2종일주,광주광역시 동구 산수동 480-15
1299,5,172㎡,2002년 11월 14일,2종일주,광주광역시 동구 산수동 480-8
1300,4,162㎡,2002년 09월 30일,2종일주,광주광역시 동구 산수동 480-7
1301,5,208㎡,2002년 11월 14일,2종일주,광주광역시 동구 산수동 480-4
1302,5,134㎡,2002년 04월 24일,2종일주,광주광역시 동구 산수동 480-2
1303,3,"1,060.4㎡",1971년,2종일주,광주광역시 동구 산수동 463-9
1304,2,783.4㎡,1980년 06월 17일,2종일주,광주광역시 동구 산수동 463-8
1305,5,211㎡,2004년 02월 27일,2종일주,광주광역시 동구 산수동 428-5
1306,4,224㎡,2005년 07월 20일,2종일주,광주광역시 동구 산수동 428-1
1307,5,268㎡,2004년 11월 29일,2종일주,광주광역시 동구 산수동 428
1308,5,349㎡,2005년 05월 18일,2종일주,광주광역시 동구 산수동 427-15
1309,5,402㎡,2005년 04월 18일,2종일주,광주광역시 동구 산수동 427-1
1310,5,111㎡,2003년 12월 29일,2종일주,광주광역시 동구 산수동 426-35
1311,4,162㎡,2003년 05월 09일,2종일주,광주광역시 동구 산수동 426-34
1312,2,135㎡,2002년 05월 13일,2종일주,광주광역시 동구 산수동 426-24
1313,5,116㎡,2003년 12월 29일,2종일주,광주광역시 동구 산수동 426-17
1314,4,185㎡,2002년 11월 28일,2종일주,광주광역시 동구 산수동 426-14
1315,3,193㎡,2002년 11월 07일,2종일주,광주광역시 동구 산수동 425-20
1316,3,136㎡,2002년 08월 23일,2종일주,광주광역시 동구 산수동 424-4
1317,4,223㎡,2001년 05월 17일,2종일주,광주광역시 동구 산수동 406-10
1318,5,196㎡,2003년 04월 14일,2종일주,광주광역시 동구 산수동 401-27
1319,5,253㎡,2004년 03월 08일,2종일주,광주광역시 동구 산수동 401-24
1320,4,212㎡,2004년 03월 04일,2종일주,광주광역시 동구 산수동 401-23
1321,5,255㎡,2004년 03월 29일,2종일주,광주광역시 동구 산수동 401-22
1322,4,242㎡,2001년 10월 20일,2종일주,광주광역시 동구 산수동 392-2
1323,5,161㎡,2003년 02월 28일,2종일주,광주광역시 동구 산수동 372-5
1324,5,201㎡,2006년 01월 27일,2종일주,광주광역시 동구 산수동 372-4
1325,3,193㎡,1997년 05월 22일,2종일주,광주광역시 동구 산수동 371-2
1326,4,261㎡,2003년 06월 04일,1종일주,광주광역시 동구 산수동 227-21
1327,4,"2,992㎡",2014년 03월 13일,1종일주,광주광역시 서구 쌍촌동 531-1
1328,4,"1,493.3㎡",2012년 06월 15일,1종일주,광주광역시 서구 쌍촌동 1004-10
1329,4,"1,628.2㎡",1981년 09월 23일,2종일주,광주광역시 서구 쌍촌동 949-1
1330,7,"1,629㎡",2017년 11월 02일,2종일주,광주광역시 서구 쌍촌동 564-59
1331,2,"1,216㎡",1981년 06월 02일,1종일주,광주광역시 서구 쌍촌동 564-55
1332,4,814㎡,1981년 08월 01일,일반상업,광주광역시 서구 쌍촌동 969-48
1333,2,"1,333.2㎡",1979년 08월 29일,1종일주,광주광역시 서구 쌍촌동 1001-13
1334,3,"2,584.8㎡",1985년 01월 04일,준주거,광주광역시 서구 쌍촌동 988
1335,4,627㎡,2013년 07월 05일,1종일주,광주광역시 서구 쌍촌동 991-6
1336,4,185.8㎡,1998년 06월 17일,1종일주,광주광역시 서구 쌍촌동 990-10
1337,3,"2,173㎡",1982년 07월 06일,2종일주,광주광역시 서구 쌍촌동 608-1
1338,3,654㎡,1983년 08월 25일,1종일주,광주광역시 서구 쌍촌동 544-4
1339,4,801㎡,1983년 04월 29일,1종일주,광주광역시 서구 쌍촌동 330-3
1340,4,"3,052㎡",2015년 05월 27일,1종일주,광주광역시 동구 소태동 772-5
1341,2,912㎡,1991년 10월 22일,2종일주,광주광역시 동구 소태동 722-72
1342,3,911㎡,1991년 10월 22일,2종일주,광주광역시 동구 소태동 722-1
1343,3,"1,387㎡",1990년 09월 27일,1종일주,광주광역시 동구 소태동 677
1344,3,883㎡,1983년 10월 18일,준주거,광주광역시 동구 소태동 671-1
1345,3,762㎡,1983년 08월 01일,준주거,광주광역시 동구 소태동 655
1346,3,679㎡,1990년 04월 17일,2종일주,광주광역시 동구 소태동 551-1
1347,1,162㎡,,3종일주,광주광역시 동구 소태동 223
1348,4,544.5㎡,1974년 12월 13일,중심상업,광주광역시 동구 충장로4가 32
1349,6,416㎡,2013년 07월 26일,준주거,광주광역시 동구 용산동 636-84
1350,3,566㎡,1982년 10월 22일,1종일주,광주광역시 동구 용산동 636-53
1351,2,"1,878㎡",1980년 07월 14일,준주거,광주광역시 동구 용산동 636-16
1352,2,"1,134㎡",1981년 08월 14일,2종일주,광주광역시 동구 운림동 868
1353,3,635㎡,1983년 09월 08일,준주거,광주광역시 동구 계림동 487-28
1354,3,135㎡,1988년 12월 05일,2종일주,광주광역시 동구 동명동 207-107
1355,4,693.8㎡,1982년 05월 20일,준주거,광주광역시 서구 내방동 840-20
1356,3,790㎡,1986년 04월 30일,2종일주,광주광역시 서구 내방동 481-3
1357,3,"1,868㎡",1984년 12월 11일,2종일주,광주광역시 서구 내방동 311-12
1358,4,"1,595㎡",2012년 12월 07일,2종일주,광주광역시 서구 내방동 309-2
1359,3,875㎡,1984년 04월 30일,3종일주,광주광역시 서구 광천동 747-9
1360,3,"1,317㎡",1984년 04월 30일,3종일주,광주광역시 서구 광천동 747-3
1361,3,"1,030㎡",1988년 02월 08일,3종일주,광주광역시 서구 광천동 711-18
1362,3,831㎡,1987년 11월 14일,3종일주,광주광역시 서구 광천동 711-17
1363,3,"3,243㎡",1982년 10월 19일,일반상업,광주광역시 서구 광천동 106-1
1364,3,450.9㎡,1983년 03월 17일,2종일주,광주광역시 동구 산수동 549-10
1365,4,"2,055.1㎡",1971년,2종일주,광주광역시 동구 산수동 463-12
1366,4,780.4㎡,1971년,2종일주,광주광역시 동구 산수동 463-5
1367,3,"1,574㎡",1980년 12월 27일,2종일주,광주광역시 동구 산수동 128-1
1368,4,962.3㎡,1982년 11월 27일,2종일주,광주광역시 서구 농성동 667-10
1369,4,"1,425㎡",1992년 10월 09일,2종일주,광주광역시 서구 농성동 665-15
1370,4,528.9㎡,1982년 05월 21일,1종일주,광주광역시 서구 농성동 651-8
1371,5,784.1㎡,2014년 01월 20일,준주거,광주광역시 서구 농성동 629-11
1372,6,628㎡,2012년 12월 21일,준주거,광주광역시 서구 농성동 278-1
1373,4,974㎡,1996년 11월 19일,2종일주,광주광역시 동구 학동 716-4
1374,4,894㎡,1983년 01월 28일,3종일주,광주광역시 동구 학동 676-12
1375,4,743㎡,1982년 12월 23일,3종일주,광주광역시 동구 학동 676-11
1376,4,"3,746㎡",2013년 01월 29일,자연녹지,광주광역시 동구 학동 662-34
1377,5,381.5㎡,2013년 03월 12일,근린상업,광주광역시 동구 지산동 722-9
1378,4,264㎡,2003년 10월 25일,2종일주,광주광역시 동구 지산동 694-8
1379,4,694㎡,1982년 02월 11일,2종일주,광주광역시 동구 지산동 691-3
1380,3,919㎡,1983년 11월 26일,근린상업,광주광역시 동구 지산동 394-6
1381,5,459㎡,2006년 04월 06일,2종일주,광주광역시 동구 지산동 232-22
1382,3,"1,260㎡",1981년 10월 13일,2종일주,광주광역시 동구 지산동 223-1
1383,7,"4,415㎡",1997년 09월 25일,일반상업,광주광역시 서구 화정동 23-15
1384,4,731.5㎡,2016년 06월 14일,1종일주,광주광역시 서구 화정동 756-37
1385,2,705.8㎡,1980년 11월 22일,1종일주,광주광역시 서구 화정동 748-1
1386,5,490.9㎡,2013년 03월 20일,2종일주,광주광역시 서구 화정동 742-7
1387,3,"3,605㎡",,3종일주,광주광역시 서구 광천동 650-7
1388,1,"12,228㎡",2009년 12월 30일,3종일주,광주광역시 서구 쌍촌동 1228
1389,1,"35,788㎡",2009년 11월 17일,3종일주,광주광역시 서구 쌍촌동 1229
1390,14,"35,366.3㎡",1991년 09월 19일,3종일주,광주광역시 서구 쌍촌동 1228-1
1391,12,"21,956㎡",1998년 01월 08일,3종일주,광주광역시 서구 쌍촌동 452-22
1392,20,"4,124㎡",1997년 02월 12일,3종일주,광주광역시 서구 쌍촌동 879
1393,17,"4,273㎡",1996년 08월 12일,3종일주,광주광역시 서구 쌍촌동 543-1
1394,5,"1,067.5㎡",1984년 11월 16일,2종일주,광주광역시 서구 쌍촌동 983-10
1395,10,680.7㎡,2012년 12월 10일,일반상업,광주광역시 서구 쌍촌동 970-6
1396,5,"1,003㎡",1982년 11월 05일,일반상업,광주광역시 서구 쌍촌동 970-2
1397,5,"1,678.5㎡",1980년 10월 16일,일반상업,광주광역시 서구 쌍촌동 969-12
1398,5,"1,840㎡",1981년 10월 27일,일반상업,광주광역시 서구 쌍촌동 968-1
1399,5,896.2㎡,1982년 07월 15일,준주거,광주광역시 서구 쌍촌동 965-13
1400,5,997.6㎡,1981년 12월 28일,2종일주,광주광역시 서구 쌍촌동 951-5
1401,9,"2,143㎡",1984년 11월 02일,3종일주,광주광역시 서구 쌍촌동 282-9
1402,11,"3,541.5㎡",1985년 11월 12일,일반상업,광주광역시 서구 쌍촌동 966-2
1403,18,"4,927㎡",1995년 08월 25일,2종일주,광주광역시 서구 쌍촌동 1135
1404,24,"9,016㎡",2011년 11월 17일,3종일주,광주광역시 서구 쌍촌동 137-4
1405,1,"2,183.5㎡",1988년 06월 14일,3종일주,광주광역시 서구 쌍촌동 963-2
1406,15,"22,097.7㎡",1998년 02월 23일,3종일주,광주광역시 서구 치평동 1159
1407,17,"16,489.5㎡",1998년 02월 12일,3종일주,광주광역시 서구 치평동 1168-11
1408,15,"1,532.3㎡",2014년 08월 01일,중심상업,광주광역시 서구 치평동 1259-4
1409,15,"18,076.3㎡",1998년 02월 10일,3종일주,광주광역시 서구 치평동 1168
1410,15,"2,065.9㎡",2014년 03월 25일,중심상업,광주광역시 서구 치평동 1218
1411,15,"2,104.1㎡",2014년 07월 28일,중심상업,광주광역시 서구 치평동 1258-5
1412,20,"21,480.4㎡",2000년 06월 16일,3종일주,광주광역시 서구 풍암동 1057
1413,15,"20,341.7㎡",2000년 06월 07일,3종일주,광주광역시 서구 풍암동 1053
1414,11,"2,394㎡",1983년 12월 22일,3종일주,광주광역시 동구 학동 719-34
1415,5,"1,083㎡",1983년 12월 07일,3종일주,광주광역시 동구 학동 901-305
1416,5,566㎡,1984년 01월 19일,3종일주,광주광역시 동구 학동 721-6
1417,5,"1,155㎡",1984년 03월 03일,3종일주,광주광역시 동구 학동 721-5
1418,5,957㎡,1982년 09월 22일,3종일주,광주광역시 동구 학동 637-208
1419,15,"2,785㎡",1992년 11월 13일,3종일주,광주광역시 동구 학동 898-4
1420,1,"5,529㎡",,3종일주,광주광역시 동구 학동 270
1421,20,"10,914㎡",1994년 02월 16일,3종일주,광주광역시 동구 학동 676-1
1422,15,"6,865㎡",1995년 08월 31일,3종일주,광주광역시 동구 산수동 84
1423,5,"2,923.6㎡",1984년 06월 30일,2종일주,광주광역시 동구 산수동 463-19
1424,2,"2,901.7㎡",,2종일주,광주광역시 동구 산수동 463-6
1425,5,"2,289.9㎡",1983년 12월 27일,2종일주,광주광역시 동구 산수동 552-17
1426,2,"2,366㎡",1990년 07월 31일,2종일주,광주광역시 동구 산수동 240-14
1427,5,"3,263㎡",1979년 09월 05일,2종일주,광주광역시 동구 산수동 104-3
1428,5,506㎡,1984년 01월 21일,3종일주,광주광역시 동구 산수동 25
1429,10,"7,092㎡",1989년 11월 07일,3종일주,광주광역시 동구 산수동 12
1430,2,"2,796㎡",1997년 01월 22일,3종일주,광주광역시 서구 농성동 414
1431,14,"4,471㎡",2012년 12월 07일,2종일주,광주광역시 서구 농성동 112-1
1432,1,"5,456㎡",1995년 11월 08일,3종일주,광주광역시 서구 농성동 117
1433,5,849㎡,1981년 06월 18일,2종일주,광주광역시 서구 농성동 471
1434,5,687㎡,1982년 08월 13일,2종일주,광주광역시 서구 농성동 470-2
1435,5,789㎡,1982년 08월 09일,2종일주,광주광역시 서구 농성동 470
1436,8,"1,310㎡",1979년 06월 19일,3종일주,광주광역시 서구 농성동 125-4
1437,5,"3,483㎡",1980년 10월 06일,2종일주,광주광역시 서구 농성동 380-5
1438,10,"6,868.4㎡",2017년 12월 21일,2종일주,광주광역시 서구 농성동 700
1439,,,,,광주광역시 동구 용산동 669
1440,22,"6,605㎡",1991년 04월 16일,3종일주,광주광역시 동구 용산동 177
1441,15,"4,384㎡",1991년 10월 26일,3종일주,광주광역시 동구 용산동 147-1
1442,20,"3,911㎡",1997년 04월 23일,3종일주,광주광역시 동구 용산동 636-31
1443,5,844㎡,1981년 12월 30일,2종일주,광주광역시 동구 용산동 636-138
1444,5,"1,804㎡",1981년 12월 28일,2종일주,광주광역시 동구 용산동 636-137
1445,5,"3,560㎡",1983년 12월 23일,2종일주,광주광역시 동구 계림동 191-1
1446,10,496㎡,2018년 10월 29일,일반상업,광주광역시 동구 계림동 175-7
1447,20,"44,309.8㎡",2002년 09월 23일,3종일주,광주광역시 서구 내방동 848
1448,1,"7,404㎡",1993년 08월 11일,3종일주,광주광역시 동구 소태동 480-2
1449,16,"4,552㎡",1993년 08월 11일,3종일주,광주광역시 동구 소태동 440
1450,12,"2,158㎡",1998년 11월 27일,2종일주,광주광역시 동구 소태동 615-1
1451,15,"2,174㎡",1990년 03월 10일,3종일주,광주광역시 동구 소태동 911
1452,5,"3,327㎡",1983년 11월 07일,2종일주,광주광역시 동구 소태동 618
1453,5,693㎡,1982년 05월 19일,2종일주,광주광역시 동구 소태동 717-5
1454,5,"5,341㎡",1979년 09월 17일,2종일주,광주광역시 동구 소태동 717-1
1455,5,430㎡,1983년 06월 11일,2종일주,광주광역시 동구 소태동 709-2
1456,5,847㎡,1983년 06월 08일,2종일주,광주광역시 동구 소태동 709
1457,5,621㎡,1983년 06월 11일,2종일주,광주광역시 동구 소태동 700-2
1458,6,"1,252㎡",1990년 11월 03일,1종일주,광주광역시 동구 소태동 698-23
1459,10,883㎡,2012년 06월 11일,준주거,광주광역시 동구 소태동 690
1460,12,"1,887㎡",1986년 01월 28일,2종일주,광주광역시 동구 소태동 560-11
1461,14,"7,302㎡",2003년 10월 30일,3종일주,광주광역시 동구 소태동 443
1462,6,805㎡,1991년 02월 05일,3종일주,광주광역시 동구 소태동 206
1463,15,"7,226㎡",1996년 07월 30일,3종일주,광주광역시 서구 양동 321-20
1464,18,"2,895㎡",1994년 03월 31일,2종일주,광주광역시 서구 양동 420-5
1465,2,"1,794㎡",1992년 02월 19일,2종일주,광주광역시 서구 양동 439-116
1466,20,"36,513.6㎡",2000년 04월 11일,3종일주,광주광역시 서구 유촌동 864
1467,18,518㎡,1997년 02월 12일,3종일주,광주광역시 동구 운림동 567-1
1468,1,"2,581㎡",1992년 05월 23일,3종일주,광주광역시 동구 운림동 597
1469,2,613㎡,1995년 02월 18일,3종일주,광주광역시 동구 운림동 588
1470,9,"2,782㎡",1994년 03월 09일,2종일주,광주광역시 동구 운림동 628
1471,6,"1,334㎡",1989년 09월 29일,2종일주,광주광역시 동구 동명동 207-88
1472,13,"7,497㎡",1999년 12월 22일,3종일주,광주광역시 서구 내방동 475-1
1473,5,"3,662㎡",1982년 12월 18일,2종일주,광주광역시 서구 내방동 311
1474,5,"1,692.7㎡",1979년 12월 08일,준주거,광주광역시 서구 내방동 841-9
1475,5,"4,494㎡",1984년 06월 30일,2종일주,광주광역시 서구 내방동 590-3
1476,2,"12,088㎡",2000년 07월 28일,3종일주,광주광역시 서구 내방동 385-1
1477,5,"4,192㎡",1983년 06월 11일,2종일주,광주광역시 동구 지산동 315-24
1478,5,"1,314㎡",1983년 08월 03일,2종일주,광주광역시 동구 지산동 513
1479,5,"1,065㎡",1981년 05월 30일,2종일주,광주광역시 동구 지산동 316-7
1480,4,423㎡,1982년 11월 29일,2종일주,광주광역시 동구 지산동 316-1
1481,5,634㎡,1982년 04월 01일,2종일주,광주광역시 동구 지산동 315
1482,9,"2,577㎡",2000년 03월 11일,2종일주,광주광역시 동구 지산동 198-13
1483,1,"4,389㎡",2005년 01월 03일,2종일주,광주광역시 동구 지산동 187-1
1484,5,"1,368㎡",1983년 02월 25일,3종일주,광주광역시 서구 광천동 653-6
1485,5,"2,514㎡",1979년 09월 17일,일반상업,광주광역시 서구 광천동 60-18
1486,18,"41,066.9㎡",1999년 07월 07일,3종일주,광주광역시 서구 유촌동 871
1487,15,"1,097.4㎡",2014년 07월 02일,중심상업,광주광역시 동구 충장로4가 14
1488,15,"1,191.1㎡",2014년 03월 31일,중심상업,광주광역시 동구 금남로5가 154-1
1489,,814.6㎡,,중심상업,광주광역시 동구 대인동 148-1
1490,9,"2,144.5㎡",2011년 12월 19일,중심상업,광주광역시 동구 수기동 22
1491,8,704.8㎡,2016년 02월 12일,중심상업,광주광역시 동구 수기동 43
1492,15,"2,586㎡",2005년 04월 29일,2종일주,광주광역시 서구 유촌동 820-2
1493,1,"22,824.7㎡",,3종일주,광주광역시 서구 화정동 859-1
1494,12,"9,189㎡",1981년 12월 08일,3종일주,광주광역시 서구 화정동 178-8
1495,12,"14,819.7㎡",1979년 07월 14일,3종일주,광주광역시 서구 화정동 131-4
1496,1,"15,776.9㎡",1987년 11월 24일,3종일주,광주광역시 서구 화정동 858-1
1497,11,"16,334.5㎡",1993년 10월 23일,3종일주,광주광역시 서구 화정동 928-1
1498,10,"18,279㎡",1985년 10월 31일,3종일주,광주광역시 서구 화정동 858-2
1499,,,,,광주광역시 서구 화정동 1708
1500,13,"13,858.1㎡",1989년 11월 15일,3종일주,광주광역시 서구 화정동 858-3
1501,15,"2,885㎡",2013년 08월 02일,일반상업,광주광역시 서구 화정동 23-37
1502,6,"12,556.9㎡",1985년 06월 15일,3종일주,광주광역시 서구 화정동 858-4
1503,5,"13,424.1㎡",1983년 12월 16일,2종일주,광주광역시 서구 화정동 830
1504,1,"4,031㎡",2013년 09월 17일,3종일주,광주광역시 서구 화정동 1023
1505,15,"4,014㎡",2003년 09월 19일,3종일주,광주광역시 서구 화정동 1295
1506,5,"2,918㎡",1983년 06월 10일,2종일주,광주광역시 서구 화정동 367-39
1507,5,"2,952㎡",1982년 02월 22일,2종일주,광주광역시 서구 화정동 367-17
1508,10,"5,479㎡",1996년 01월 15일,3종일주,광주광역시 서구 화정동 532-12
1509,12,"1,107㎡",2013년 03월 28일,준주거,광주광역시 서구 화정동 179-24
1510,1,"6,424㎡",1995년 08월 22일,3종일주,광주광역시 서구 화정동 1020
1511,5,"1,353.5㎡",1979년 06월 12일,2종일주,광주광역시 서구 화정동 747-22
1512,5,"1,353.4㎡",1979년 06월 12일,2종일주,광주광역시 서구 화정동 747-1
1513,5,"18,759㎡",1997년 07월 29일,1종일주,광주광역시 서구 화정동 366-1
1514,5,"2,399㎡",1983년 04월 23일,2종일주,광주광역시 서구 화정동 334-70
1515,5,"2,644㎡",1983년 11월 11일,2종일주,광주광역시 서구 화정동 100
1516,5,"1,773㎡",1984년 02월 17일,2종일주,광주광역시 서구 화정동 97-23
1517,5,"3,922㎡",1982년 02월 02일,2종일주,광주광역시 서구 화정동 334-6
1518,14,"13,478㎡",1995년 03월 18일,3종일주,광주광역시 서구 화정동 366-19
1519,16,"11,731.3㎡",1992년 08월 14일,3종일주,광주광역시 서구 화정동 903-2
1520,0,"43,966.5㎡",1992년 11월 04일,3종일주,광주광역시 서구 화정동 930-1
